year,title,narrative location 1,latitude 1,longitude 1,narrative location 2,latitude 2,longitude 2,narrative location 3,latitude 3,longitude 3,narrative location 4,latitude 4,longitude 4,narrative location 5,latitude 5,longitude 5,narrative location 6,latitude 6,longitude 6,narrative location 7,latitude 7,longitude 7,narrative location 8,latitude 8,longitude 8,narrative location 9,latitude 9,longitude 9,narrative location 10,latitude 10,longitude 10,narrative location 11,latitude 11,longitude 11,narrative location 12,latitude 12,longitude 12,narrative location 13,latitude 13,longitude 13,narrative location 14,latitude 14,longitude 14,narrative location 15,latitude 15,longitude 15,narrative location 16,latitude 16,longitude 16
1996,"Beautiful Life and Foreign Wars of Mr. Pyle, Gentleman",Amsterdam,52.38333333,4.9,Prussia,,,Jena,50.92722222,11.58638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Microcosms,Trieste,45.65027778,13.77027778,Val Cellina,,,"Grado, Friuli-Venezia Giulia",45.683333,13.4,Snežnik,45.588889,14.446667,Cambiano,44.97111111,7.774444444,Chieri,45.01305556,7.822777778,Pecetto Torinese,45.01666667,7.75,Cres,44.96027778,14.40805556,Lošinj,44.58666667,14.40777778,Rasen-Antholz,46.85,12.1,,,,,,,,,,,,,,,,,,
1998,The good times,Salzburg,47.7972,13.04768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Darkness,Mali,17,-4,Rome,41.89305556,12.48277778,Buenos Aires,-34.59972222,-58.38194444,Pollutri,42.13333333,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,N.,Elba,42.78,10.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Via Gemito,Vomero,40.84361111,14.22694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Don't move,Rome,41.89305556,12.48277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Vita,New York City,40.712728,-74.006015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,The Perfect Pain,Sapri,40.06666667,15.63333333,Tuscany,43.35,11.01666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,The Night Traveler,Assekrem,23.26369444,5.631111111,Carnia,46.39444444,12.77416667,Bosnia and Herzegovina,44,18,Tuzla,44.53805556,18.67611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Quiet Chaos,Italy,42.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,As God Commands,Northeast Italy,45.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
