year,nominees
1967,"
Raffaello Brignetti, Il gabbiano azzurro (Einaudi)
Fabio Carpi, La digestione artificiale (Mondadori)
Piero Chiara, Il balordo (Mondadori)
Sandro De Feo, I cattivi pensieri (Garzanti)
Massimo Franciosa, L’arrischiata (Rizzoli)
Renato Ghiotto, Scacco alla regina (Rizzoli)
Augusto Gotti Lega, Lo zibellino (Vallecchi)
Tonino Guerra, L’equilibrio (Bompiani)
Anna Maria Ortese, Poveri e semplici (Vallecchi)
Ercole Patti, Un bellissimo novembre (Bompiani)
Goliarda Sapienza, Lettera aperta (Garzanti)
Dianella Selvatico Estense, Il senso delle cose (Edizioni dell’Albero)
"
1968,"
Minnie Alzona, Coma vigile (Rizzoli)
Antonio Barolini, L’ultima contessa di famiglia (Feltrinelli)
Arrigo Benedetti, Il ballo angelico (Mondadori)
Alberto Bevilacqua, L’occhio del gatto (Rizzoli)
Giulio Cattaneo, L’uomo delle novità  (Adelphi)
Italo Cremona, La coda della cometa (Vallecchi)
Raoul Maria De Angelis, Il piede di san Pietro (Trevi)
Carlo Della Corte, Di alcune comparse a Venezia (Mondadori)
Giuseppe Mesirca, Eros al mare (Mursia)
Pier Paolo Pasolini, Teorema (Einaudi)
Domenico Purificato, Galeone (Bietti)
Brunello Vandano, Addio alla grandezza (Mondadori)
Cesare Zavattini, Straparole (Bompiani)
"
1969,"
Giuseppe Bonaviri, La divina foresta (Rizzoli)
Giuseppe Brunamontini, L’ultimo atto (Rizzoli)
Piero Chiara, L’uovo al cianuro (Mondadori)
Giorgio Chiesura, La zona immobile e altre storie (Mondadori)
Franco Cordero, Genus (De Donato)
Carlo Della Corte, Il grande balipedio (Mondadori)
Cesare Garboli, La stanza separata (Mondadori)
Tonino Guerra, L’uomo parallelo (Bompiani)
Giuseppe Mazzaglia, Ricordo di Anna Paola Spadoni (Rizzoli)
Lalla Romano, Le parole tra noi leggere (Einaudi)
Claudio Savonuzzi, Nella linea d’ombra (Vallecchi)
Fulvio Tomizza, L’albero dei sogni (Mondadori)
Dante Troisi, Voci di Vallea (Rizzoli)
"
1970,"
Oddone Beltrami, L’errore (Palazzi)
Loris Jacopo Bononi, Diario postumo (Cappelli)
Carlo Castellaneta, La dolce compagna (Rizzoli)
Costanzo Costantini, Ho tentato di vivere (Sugar)
Raffaele Crovi, La corsa del topo (Mondadori)
Carlo Emilio Gadda, La meccanica (Garzanti)
Gian Luigi Piccioli, Arnolfini (Feltrinelli)
Guido Piovene, Le stelle fredde (Mondadori)
Nello Sàito, Dentro e fuori (Rizzoli)
Carlo Villa, I sensi lunghi (Einaudi)
Fiora Vincenti, Una Rolls-Royce nera (Mursia)
"
1971,"
Ugo Attardi, L’erede selvaggio (Rizzoli)
Raffaello Brignetti, La spiaggia d’oro (Rizzoli)
Luigi Brioschi, La terra desiderata (Rizzoli)
Carlo Cassola, Paura e tristezza (Einaudi)
Giuseppe D’Agata, Primo il corpo (Bompiani)
Sergio Ferrero, Il giuoco sul ponte (Mondadori)
Franco Ferrucci, L’anatra nel cortile (Rizzoli)
Franco Floreanini, La linea dell’orizzonte (Ceschina)
Marina Jarre, Negli occhi di una ragazza (Einaudi)
Paolo Marletta, Il lume dietro le spalle (Bietti)
Aldo Rosselli, Professione: mitomane (Vallecchi)
Edgardo Sogno, La pietra e la polvere (Mursia)
"
1972,"
Dario Bellezza, Lettere da Sodoma (Garzanti)
Guglielmo Biraghi, Lo sguardo nel buio (Rizzoli)
Mario Bonfantini, Scomparso a Venezia (Einaudi)
Luigi Bongiorno, La selva oscura (Mondadori)
Carlo Castellaneta, La paloma (Rizzoli)
Fabio De Agostini, Smolny (Edizioni Del Gattopardo)
Giuseppe Dessì, Paese d’ombre (Mondadori)
Corrado De Vita, W l’i… (Garzanti)
Gia Lagorio, Approssimato per difetto (Einaudi)
Ottiero Ottieri, Campo di concentrazione (Bompiani)
Francesca Sanvitale, Il cuore borghese (Vallecchi)
Alfredo Todisco, Il corpo (Rusconi)
J. Rodolfo Wilcock, Lo stereoscopio dei solitari (Adelphi)
"
1973,"
Francesco Burdin, Il viaggio a Varsavia (Marsilio)
Manlio Cancogni, Allegri, gioventù (Rizzoli)
Carla Cerati, Un amore fraterno (Einaudi)
Guido Ceronetti, Aquilegia (Rusconi)
Piero Chiara, Il pretore di Cuvio (Mondadori)
Costanzo Costantini, Il maschio nazionale (Sugar)
Italo Dragosei, Dossier infarto (Bietti)
Carlo Lapucci, Itinerario a Vega (Cappelli)
Raul Lunardi, La delazione (Fabbri)
Leros Pittoni, Un amore cosi fragile, così violento(Mursia)
Enzo Siciliano, Rosa (pazza e disperata) (Garzanti)
"
1974,"
Edith Bruck, Due stanze vuote (Marsilio)
Achille Campanile, Gli asparagi e l’immortalità dell’anima (Rizzoli)
Silvano Ceccherini, Il prezzo della saggezza (Bietti)
Luigi Compagnone, Ballata e morte di un capitano del popolo (Rusconi)
Pietro Ghilarducci, L’ombra degli ippocastani (Rizzoli)
Tonino Guerra, I cento uccelli (Bompiani)
Armanda Guiducci, La mela e il serpente (Rizzoli)
Alessandra Lavagnino, Una granita di caffè con panna(Mondadori)
Giosi Lippolis, La porta accanto (Pan)
Rosetta Loy, La bicicletta (Einaudi)
Sauro Marianelli, Il ragazzo dell’istituto (Bompiani)
Guglielmo Petroni, La morte del fiume (Mondadori)
Leros Pittoni, La gatta nera (Mursia)
Aldo Pocobelli, Sotto le stelle un medico (Bietti)
Renzo Renzi, Catene, tormenti e Charlotte (Cappelli)
Vittorio Schiraldi, Sii bella, sii triste (Mondadori)
"
1975,"
Laudomia Bonanni, Vietato ai minori (Bompiani)
Elda Bossi, Giornale del soldato stanco (Pan)
Mario Brelich, L’opera del tradimento (Adelphi)
Maria Paola Càntele, Il Vegegufo (Mondadori)
Brianna Carafa, La vita involontaria (Einaudi)
Carla Cerati, Un matrimonio perfetto (Marsilio)
Romano Costa, Lambras (Mondadori)
Maria Luisa D’Aquino, Quel giorno trent’anni fa (Guida)
Livio Dell’Anna, L’oncle Théophile (Il viale)
Emilio Isgrò, L’avventurosa vita di Emilio Isgrò (Il formichiere)
Tommaso Landolfi, A caso (Rizzoli)
Eraldo Miscia, Il gran custode delle terre grasse(Rusconi)
Vittoria Ronchey, Figlioli miei, marxisti immaginari (Rizzoli)
"
1976,"
Leila Baiardo, L’inseguimento (Bompiani)
Ferdinando Camon, Occidente (Garzanti)
Fausta Cialente, Le quattro ragazze Wieselberger (Mondadori)
Laura Di Falco, L’inferriata (Rizzoli)
Vittorio Gorresio, Costellazione Cancro (Rizzoli)
Milena Milani, Soltanto amore (Rusconi)
Giorgio Montefoschi, Il museo africano (Rizzoli)
Ottiero Ottieri, Contessa (Bompiani)
Renée Reggiani, Hanno rapito il papa (Garzanti)
Alessandro Spina, Ingresso a Babele (Rusconi)
"
1977,"
Minnie Alzona, Viaggio angelico (Rizzoli)
Luigi Bongiorno, L’uomo nero e il prato dei galli (Bompiani)
Vincenzo Guerrazzi, La fabbrica del sogno (Cooperativa Scrittori)
Mario Lattes, L’incendio del Regio (Einaudi)
Mario Lunetta, I ratti d’Europa (Editori Riuniti)
Toni Maraini, Anno 1424 (Marsilio)
Bruno Modugno, Re di macchia (Rusconi)
Giovanni Pascutto, La famiglia è sacra (Mondadori)
Carlo Sgorlon, Gli dei torneranno (Mondadori)
Fulvio Tomizza, La miglior vita (Rizzoli)
"
1978,"
Giuseppe Bonura, Per partito preso (Rusconi)
Ferdinando Camon, Un altare per la madre (Garzanti)
Grazia Livi, La distanza e l’amore (Garzanti)
Giorgio Montefoschi, L’amore borghese (Rizzoli)
Mario Angelo Ponchia, Cavaliere lunare (Edizioni dell’Urbe)
Carmelo Samonà, Fratelli (Einaudi)
Antonio Tabucchi, Il piccolo naviglio (Mondadori)
Alberto Vigevani, Fata Morgana (Mondadori)
"
1979,"
Paolo Bertolani, Ballata della contea di levante (Il formichiere)
Laudomia Bonanni, Il bambino di pietra (Bompiani)
Teresa Carpinteri, L’Eringio (Flaccovio)
Carlo Felice Colucci, I figli dell’arca (Cooperativa Scrittori)
Maria Luisa Fargion, Lungo le acque tranquille (Pan)
Alberto Lecco, Un Don Chisciotte in America(Mondadori)
Primo Levi, La chiave a stella (Einaudi)
Pasquale Maffeo, L’angelo bizantino (Città Armoniosa)
Luciano Marigo, Due giorni con Chiara (Città Armoniosa)
Franco Mimmi, Rivoluzione (Cappelli)
Stanislao Nievo, Aurora (Mondadori)
Luigi Piccioli, Sveva (Rusconi)
Giuseppe Scapucci, Epica contadina (Città Armoniosa)
Carlo Sgorlon, La carrozza di rame (Mondadori)
Lamberti Sorrentino, Sognare a Mathausen (Bompiani)
Ferruccio Ulivi, Le mani pure (Rizzoli)
Bruno Zavagli, I Paganeschi (Sansoni)
"
1980,"
Olivo Bin, Storia di un bocia (Città armoniosa)
Vittorio Gorresio, La vita ingenua (Rizzoli)
Luciano Marigo, La donna assurda (Città armoniosa)
Rossana Ombres, Serenata (Mondadori)
Giovanni Pascutto, Tre locali più servizi (Longanesi)
Giulio Petroni, Il rivale (Marsilio)
Nerino Rossi, Melanzio (Rusconi)
Renzo Rosso, Il segno del toro (Mondadori)
Francesca Sanvitale, Madre e figlia (Einaudi)
Vittorio Sermonti, Il tempo fra cane e lupo (Bompiani)
Giorgio Soavi, Sogni di gloria (Rizzoli)
Giovanna Vizzari, Un letto per Penelope (Vannini)
"
1981,"
Guido Artom, I giorni del mondo (Longanesi)
Gesualdo Bufalino, Diceria dell’untore (Sellerio)
Sepp D’Amore, Tornare in Italia (Soc. Editr. Napoletana)
Umberto Eco, Il nome della rosa (Bompiani)
Alain Elkann, Il tuffo (Mondadori)
Alberto Lecco, L’Ebreo (Città  Armoniosa)
Fabrizia Ramondino, Althénopis (Einaudi)
Vittorio Saltini, Il primo libro di Li Po (Mondadori)
Enzo Siciliano, La principessa e l’antiquario (Rizzoli)
"
